experiment,version,subjID,completed,system,day,overall_block,block,domain_type,response_type,motor_time_type,motor_condition,time_condition,mean_accuracy,mean_confidence,median_confidence,mean_total_RT,mean_log_RT,sensitivity,criterion,metad,efficiency,m_difference,include_block
報告順序と記憶メタ認知: 2.0,experiment2,008_SE,1,booth 5,3,9,3,memory,confidence_then_decision,MR_TC,randomised,constrained,0.583333333333333,2.26041666666667,2,1.85092699583335,0.259936008987637,0.453720784419658,-0.303669367979237,0.576501644726554,1.30092312358101,0.13335351838713,0
報告順序と記憶メタ認知: 2.0,experiment2,008_SE,1,booth 5,2,5,2,memory,decision_and_confidence,MR_TC,randomised,constrained,0.767676767676768,2.2020202020202,2,1.52656000101018,0.16807794419552,1.48429558694489,-0.15930628620123,0.944220780642844,0.652099513589812,-0.503749599590845,1
報告順序と記憶メタ認知: 2.0,experiment2,008_SE,1,booth 5,1,1,1,memory,decision_then_confidence,MR_TC,randomised,constrained,0.737373737373737,2.53535353535354,3,1.82156664242428,0.253138082547223,1.27906483674662,-0.132660795815376,0.974955508786897,0.780194147604114,-0.274676408833701,1
報告順序と記憶メタ認知: 2.0,experiment2,008_SE,1,booth 5,3,8,2,memory,confidence_then_decision,MR_TU,randomised,unconstrained,0.767676767676768,2.41414141414141,2,2.01803189292921,0.29434466630711,1.46341986041095,0.0254073673653867,1.40606605462049,0.984058588662196,-0.0227777874235113,1
報告順序と記憶メタ認知: 2.0,experiment2,008_SE,1,booth 5,2,4,1,memory,decision_and_confidence,MR_TU,randomised,unconstrained,0.77,2.49,2.5,1.894536452,0.253647300974831,1.48496663896583,0.0991379140899987,1.26318138281929,0.871342071868511,-0.186514923145275,1
報告順序と記憶メタ認知: 2.0,experiment2,008_SE,1,booth 5,1,3,3,memory,decision_then_confidence,MR_TU,randomised,unconstrained,0.75,2.59,3,1.80355096900015,0.241722352984589,1.349647968233,-0.0314785787235853,1.13751465470705,0.86247146159158,-0.181386555783919,1
報告順序と記憶メタ認知: 2.0,experiment2,101_MS,1,booth 5,2,6,3,memory,confidence_then_decision,MF_TU,fixed,unconstrained,0.858585858585859,2.8989898989899,3,1.31031276161615,0.0816925079980972,2.18300564521828,-0.190048742935462,1.68353089455085,0.795628302414095,-0.432445736047486,1
報告順序と記憶メタ認知: 2.0,experiment2,101_MS,1,booth 5,3,8,2,memory,decision_and_confidence,MF_TU,fixed,unconstrained,0.808080808080808,2.78787878787879,3,1.47398592121192,0.114647018149828,1.74307531324659,0.0299164230503811,1.28052509977282,0.75383166936254,-0.418163283610788,1
報告順序と記憶メタ認知: 2.0,experiment2,101_MS,1,booth 5,1,1,1,memory,decision_then_confidence,MF_TU,fixed,unconstrained,0.704081632653061,1.89795918367347,2,1.61530282040815,0.1762638226137,1.0728204444908,-0.0295385996874648,1.31669405881905,1.25490855228976,0.267458991915927,1
報告順序と記憶メタ認知: 2.0,experiment2,101_MS,1,booth 5,2,4,1,memory,confidence_then_decision,MR_TC,randomised,constrained,0.84,2.8,3,1.42554735400005,0.145917045109572,1.98891576641951,-0,1.71222596367811,0.884943040177226,-0.222617168525297,1
報告順序と記憶メタ認知: 2.0,experiment2,101_MS,1,booth 5,3,9,3,memory,decision_and_confidence,MR_TC,randomised,constrained,0.747474747474748,2.6969696969697,3,1.40742968686898,0.126335952613289,1.3648786532995,-0.232925761193062,1.33940643545571,1.00584583322915,0.00778444010906409,1
報告順序と記憶メタ認知: 2.0,experiment2,101_MS,1,booth 5,1,2,2,memory,decision_then_confidence,MR_TC,randomised,constrained,0.737373737373737,2.57575757575758,3,1.50561184141412,0.17057566077229,1.30896350363974,-0.260883336022945,0.783944645638412,0.61388148889319,-0.493084650442563,1
報告順序と記憶メタ認知: 2.0,experiment2,101_MS,1,booth 5,2,5,2,memory,confidence_then_decision,MR_TU,randomised,unconstrained,0.626262626262626,2.31313131313131,2,1.60439899898987,0.185864158243385,0.647711168907213,-0.143843214660902,0.19671660454305,0.310167944598647,-0.437509491250306,1
報告順序と記憶メタ認知: 2.0,experiment2,101_MS,1,booth 5,3,7,1,memory,decision_and_confidence,MR_TU,randomised,unconstrained,0.878787878787879,2.71717171717172,3,1.85739283232316,0.244171417564791,2.81758420406197,-0.636598887842301,1.77532192215932,0.673855100700163,-0.859253256265074,1
報告順序と記憶メタ認知: 2.0,experiment2,101_MS,1,booth 5,1,3,3,memory,decision_then_confidence,MR_TU,randomised,unconstrained,0.816091954022989,2.5632183908046,3,2.12533903908044,0.294917800375638,1.85812450980973,-0.291578093942486,2.31152511493927,1.285801215598,0.5137937962111,1
報告順序と記憶メタ認知: 2.0,experiment2,102_TH,1,booth 9,2,6,3,memory,confidence_then_decision,MF_TU,fixed,unconstrained,0.75,2.88,3,0.846909104972146,-0.0888163693742007,1.3550347214599,0.0946758534587343,1.69840980165346,1.28292672592689,0.374554146197858,1
報告順序と記憶メタ認知: 2.0,experiment2,102_TH,1,booth 9,3,8,2,memory,decision_and_confidence,MF_TU,fixed,unconstrained,0.71,2.48,2,1.29931619400159,0.0462735491648241,1.10724201997926,-0.0292204972815877,1.14721222615017,1.05906737506041,0.0639834787017537,1
報告順序と記憶メタ認知: 2.0,experiment2,102_TH,1,booth 9,1,1,1,memory,decision_then_confidence,MF_TU,fixed,unconstrained,0.74,2.32,2,1.02357885296457,-0.00957263566360204,1.2891440701113,0.0617305277844357,1.4702370467834,1.16678897913351,0.210165968742158,1
報告順序と記憶メタ認知: 2.0,experiment2,102_TH,1,booth 9,2,5,2,memory,confidence_then_decision,MR_TC,randomised,constrained,0.818181818181818,2.66666666666667,3,1.47093581921901,0.155278508596496,1.83976373806683,-0.147688654844728,1.76009045086085,0.983172686195179,-0.0301245089060838,1
報告順序と記憶メタ認知: 2.0,experiment2,102_TH,1,booth 9,3,7,1,memory,decision_and_confidence,MR_TC,randomised,constrained,0.78,2.4,2,1.18062483699992,0.0563254576612857,1.55871049323573,-0.136009841224948,1.21474157713157,0.798849897601494,-0.305871470174026,1
報告順序と記憶メタ認知: 2.0,experiment2,102_TH,1,booth 9,1,3,3,memory,decision_then_confidence,MR_TC,randomised,constrained,0.816326530612245,2.90816326530612,3,1.38717177041274,0.127416674618331,1.80825620200381,-0.0769978951602732,0.977302287905881,0.555100409900112,-0.783284212258554,1
