block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,interval,interTrial.interval,Mean,Standard deviation,SR_conf,RTrating,sub,age,gender,handedness,
4,Main,8,0.5530803000438027,['right'],1,180,left,0.8787755102040816,2.4549125017280784,3.402996357013494,2.375,0.5,0.94,0.9983311999822035,0,30,Man,Right,
4,Main,9,0.46201130002737045,['left'],1,0,right,1.0,3.162926682208931,2.4884451437153023,2.375,0.5,0.98,1.1843249999801628,0,30,Man,Right,
4,Main,10,0.4935305999824777,['left'],1,0,right,0.4342857142857143,1.8949447211595947,1.014987110355868,2.375,0.5,0.6399999999999999,1.1484897999907844,0,30,Man,Right,
4,Main,11,0.5507573999930173,['right'],1,180,left,0.39387755102040817,2.671416358165707,1.9589284524728086,2.375,0.5,0.52,0.812028200016357,0,30,Man,Right,
4,Main,12,0.47449420002521947,['left'],1,0,right,0.8383673469387755,3.1863665208417826,3.7127421068449937,2.375,0.5,0.5800000000000001,0.7203165999962948,0,30,Man,Right,
4,Main,13,0.5194763999897987,['left'],0,180,left,0.5151020408163265,1.6143623337210955,1.6195153753309035,2.375,0.5,-0.74,1.6043689000071026,0,30,Man,Right,
4,Main,14,0.5810650000348687,['right'],1,180,left,0.39387755102040817,3.0326279731274366,2.498781560069116,2.375,0.5,0.5,0.7470200000097975,0,30,Man,Right,
4,Main,15,0.5009008999913931,['right'],1,180,left,0.8787755102040816,2.7159194115251455,3.0223202577690205,2.375,0.5,0.96,0.8182872000033967,0,30,Man,Right,
4,Main,16,0.561431999958586,['left'],1,0,right,0.9595918367346938,2.552962398794702,3.4463996852586063,2.375,0.5,0.96,1.3903116000001319,0,30,Man,Right,
4,Main,17,0.5025193000328727,['left'],1,0,right,0.11102040816326529,1.5706594312009565,1.875600103852852,2.375,0.5,0.30000000000000004,1.2135397999663837,0,30,Man,Right,
4,Main,18,0.5240139999659732,['left'],1,0,right,0.3736734693877551,2.0647607056736996,2.5843404133096244,2.375,0.5,0.9199999999999999,1.160442200023681,0,30,Man,Right,
4,Main,19,0.8982548000058159,['left'],0,180,left,0.07061224489795918,2.5768577935955688,3.057932034278692,2.375,0.5,-0.06000000000000005,1.405158500012476,0,30,Man,Right,
4,Main,20,0.540275199979078,['right'],1,180,left,0.8383673469387755,1.93301288382583,3.5862559799565235,2.375,0.5,0.94,0.9907880999962799,0,30,Man,Right,
4,Main,21,0.5283965999842621,['left'],1,0,right,0.3130612244897959,2.743519633631408,2.4673142890852233,2.375,0.5,0.3600000000000001,0.7009267000248656,0,30,Man,Right,
4,Main,22,0.5152408999856561,['left'],1,0,right,0.29285714285714287,1.538173903717464,1.0342561599102527,2.375,0.5,0.3600000000000001,1.4937843000516295,0,30,Man,Right,
4,Main,23,0.6480693999910727,['left'],1,0,right,0.19183673469387755,2.7044246703236596,1.1698566047430252,2.375,0.5,0.15999999999999992,0.7430144000099972,0,30,Man,Right,
4,Main,24,0.5281323000090197,['right'],1,180,left,0.3130612244897959,2.5263325795957186,3.5490278633227126,2.375,0.5,0.1399999999999999,1.0855173000018112,0,30,Man,Right,
4,Main,25,0.7834838000126183,['right'],1,180,left,0.2726530612244898,1.7546918105212188,1.8976655560139921,2.375,0.5,0.24,1.261587299988605,0,30,Man,Right,
